,suburb,rented_price_2017,rented_price,rented_price_2019,rented_price_2020,rented_price_2021,rented_price_2022,rented_price_2023,rented_price_2024,pred_2025,pred_2026,pred_2027,model,confidence
50,Baxter,334.54545454545456,376.9230769230769,415.5,424.0,386.9230769230769,458.06451612903226,511.6666666666667,545.0,467.6530612244898,467.6530612244898,467.6530612244898,0r,low
51,Bayles,345.0,,425.0,,,563.3333333333334,625.0,650.0,547.1428571428571,547.1428571428571,547.1428571428571,0r,low
52,Bayswater (Vic.),363.5431034482759,379.8,388.1434599156118,397.9457013574661,421.83898305084745,433.82671480144404,487.7073170731707,521.6423357664233,442.0,442.0,442.0,0r,high
53,Bayswater North,325.3333333333333,343.75,374.1666666666667,375.0,370.0,418.125,424.0,507.5,396.0,396.0,396.0,0r,low
54,Beaconsfield (Vic.),367.2340425531915,370.0,374.5,404.8787878787879,425.0,443.9491525423729,495.8510638297872,543.6363636363636,455.125,455.125,455.125,0r,high
55,Beaufort (Vic.),284.0,268.3333333333333,303.0,280.0,406.42857142857144,367.6666666666667,351.6666666666667,507.72727272727275,373.2258064516129,373.2258064516129,373.2258064516129,0r,low
56,Beaumaris (Vic.),618.2116788321168,592.1386861313869,569.1981132075472,591.8156424581006,594.4642857142857,555.9765625,633.5217391304348,615.4938271604939,582.445652173913,582.445652173913,582.445652173913,0r,high
57,Beech Forest,185.0,180.0,180.0,,350.0,,346.6666666666667,,346.6666666666667,346.6666666666667,346.6666666666667,0r,low
58,Beechworth,310.80645161290323,281.1904761904762,305.3030303030303,300.5681818181818,342.04347826086956,375.6764705882353,403.39285714285717,440.625,380.2083333333333,380.2083333333333,380.2083333333333,0r,low
59,Belgrave,420.4166666666667,365.0,455.0,467.0,320.0,493.6111111111111,493.1578947368421,585.0,504.11764705882354,504.11764705882354,504.11764705882354,0r,low
60,Belgrave Heights,450.0,345.0,260.0,410.0,510.0,522.5,,566.6666666666666,518.3333333333334,518.3333333333334,518.3333333333334,0r,low
61,Belgrave South,420.0,515.0,520.0,520.0,360.0,500.0,,587.5,430.0,430.0,430.0,0r,low
62,Bell Park,312.625,332.6829268292683,342.79661016949154,346.76724137931035,374.4036697247706,401.65441176470586,445.81889763779526,471.87394957983196,405.1331058020478,405.1331058020478,405.1331058020478,0r,high
